date,state,district
2021-09-03,Sarawak,Beluru
2021-09-09,Sarawak,Song
2021-09-20,Sarawak,Asajaya
2021-09-21,Sarawak,Tanjung Manis
2021-10-14,Sarawak,Sri Aman
2021-10-20,Sarawak,Lawas
2021-10-20,Sarawak,Sri Aman
2021-10-22,Sarawak,Tatau
2021-10-30,Sarawak,Serian
2021-11-15,Sarawak,Kabong
2021-11-24,Sarawak,Telang Usan
2021-11-26,Sarawak,Bau
2021-11-27,Sarawak,Mukah
2021-12-07,Sarawak,Sri Aman
2021-12-09,Sarawak,Kanowit
2021-12-18,Sarawak,Sibu
2021-12-19,Sarawak,Tebedu
2021-12-22,Sarawak,Samarahan
2021-12-25,Sarawak,Pakan
2022-01-03,Sarawak,Lubok Antu
2022-01-04,Sarawak,Marudi
2022-01-05,Sarawak,Subis
2022-01-13,Sarawak,Lundu
2022-01-17,Perak,Kinta
2022-01-27,Sarawak,Kabong
2022-01-31,Sarawak,Subis
2022-02-02,Sarawak,Pakan
2022-02-10,Sarawak,Sarikei
2022-02-10,Sarawak,Selangau
2022-02-12,Sarawak,Sibu
2022-02-13,Sarawak,Betong
2022-02-13,Sarawak,Daro
2022-02-14,Sarawak,Matu
2022-02-24,Sarawak,Marudi
2022-02-26,Sarawak,Subis
2021-09-04,Sarawak,Telang Usan
2021-09-12,Sarawak,Belaga
2021-09-12,Sarawak,Sri Aman
2021-09-14,Sarawak,Sarikei
2021-09-18,Sarawak,Kapit
2021-09-23,Sarawak,Marudi
2021-09-25,Sarawak,Tanjung Manis
2021-09-30,Sarawak,Daro
2021-10-05,Perak,Kinta
2021-10-09,Sarawak,Lawas
2021-10-13,Sarawak,Kanowit
2021-10-13,Sarawak,Tanjung Manis
2021-11-02,Sarawak,Kabong
2021-11-03,Sarawak,Bau
2021-11-06,Sarawak,Kabong
2021-11-07,Sarawak,Lubok Antu
2021-11-12,Sarawak,Sarikei
2021-11-15,Sarawak,Sibu
2021-11-29,Sarawak,Maradong
2021-12-01,Sarawak,Julau
2021-12-01,Sarawak,Tanjung Manis
2021-12-04,Sarawak,Mukah
2021-12-12,Sarawak,Asajaya
2021-12-22,Sarawak,Julau
2021-12-23,Sarawak,Tatau
2021-12-23,Sarawak,Tebedu
2021-12-29,Perak,Kinta
2022-01-17,Sarawak,Kapit
2022-01-20,Sarawak,Dalat
2022-01-21,Sarawak,Betong
2022-01-25,Sarawak,Kabong
2022-01-30,Sarawak,Sebauh
2022-02-04,Sarawak,Matu
2022-02-20,Sarawak,Tanjung Manis
2021-09-03,Sarawak,Pusa
2021-09-07,Sarawak,Lawas
2021-09-11,Sarawak,Song
2021-09-21,Sarawak,Lundu
2021-09-21,Sarawak,Tatau
2021-09-26,Sarawak,Tebedu
2021-10-01,Sarawak,Tebedu
2021-10-04,Sarawak,Bau
2021-10-05,Sarawak,Miri
2021-10-06,Sarawak,Marudi
2021-10-09,Sarawak,Simunjan
2021-10-18,Sarawak,Sebauh
2021-10-31,Sarawak,Marudi
2021-11-06,Sarawak,Sibu
2021-11-09,Sarawak,Dalat
2021-11-09,Sarawak,Tebedu
2021-11-20,Sarawak,Daro
2021-11-30,Perak,Kinta
2021-12-04,Sarawak,Telang Usan
2021-12-11,Sarawak,Saratok
2021-12-17,Sarawak,Sri Aman
2022-01-01,Sarawak,Samarahan
2022-01-01,Sarawak,Tatau
2022-01-09,Sarawak,Julau
2022-01-14,Sarawak,Simunjan
2022-01-17,Sarawak,Kanowit
2022-02-10,Sarawak,Daro
2022-02-10,Sarawak,Lundu
2022-02-15,Sarawak,Bau
2022-02-17,Sarawak,Asajaya
2022-02-18,Sarawak,Kapit
2022-02-20,Sarawak,Marudi
2022-02-23,Sarawak,Dalat
2022-02-26,Sarawak,Tebedu
2021-09-03,Sarawak,Limbang
2021-09-05,Sarawak,Pusa
2021-09-07,Sarawak,Kabong
2021-09-10,Sarawak,Miri
2021-09-13,Sarawak,Pusa
2021-09-20,Sarawak,Subis
2021-09-25,Sarawak,Maradong
2021-09-29,Sarawak,Pusa
2021-10-09,Sarawak,Saratok
2021-10-15,Sarawak,Sarikei
2021-10-21,Sarawak,Lubok Antu
2021-10-24,Sarawak,Telang Usan
2021-10-27,Sarawak,Belaga
2021-10-27,Sarawak,Simunjan
2021-10-31,Sarawak,Lundu
2021-11-06,Sarawak,Tebedu
2021-11-13,Sarawak,Marudi
2021-11-14,Sarawak,Kapit
2021-11-18,Sarawak,Saratok
2021-11-19,Sarawak,Maradong
2021-12-12,Sarawak,Kapit
2022-01-05,Sarawak,Pakan
2022-01-15,Sarawak,Sibu
2022-01-16,Sarawak,Telang Usan
2022-01-21,Sarawak,Kanowit
2022-01-30,Sarawak,Sri Aman
2022-01-31,Sarawak,Tebedu
2022-02-06,Sarawak,Lawas
2022-02-15,Sarawak,Asajaya
2022-02-16,Sarawak,Miri
2022-02-21,Sarawak,Selangau
2022-02-23,Sarawak,Mukah
2022-02-28,Perak,Kinta
2021-09-02,Sarawak,Selangau
2021-09-08,Sarawak,Kanowit
2021-09-23,Sarawak,Pusa
2021-09-24,Sarawak,Bintulu
2021-09-27,Sarawak,Daro
2021-09-27,Sarawak,Matu
2021-09-27,Sarawak,Pakan
2021-10-01,Sarawak,Samarahan
2021-10-04,Sarawak,Matu
2021-10-05,Sarawak,Pakan
2021-10-09,Sarawak,Limbang
2021-10-18,Sarawak,Sri Aman
2021-10-21,Sarawak,Sarikei
2021-10-23,Sarawak,Asajaya
2021-11-02,Perak,Kinta
2021-11-02,Sarawak,Pakan
2021-11-15,Sarawak,Lawas
2021-11-17,Sarawak,Sebauh
2021-11-22,Sarawak,Pakan
2021-12-06,Sarawak,Mukah
2021-12-08,Sarawak,Song
2021-12-23,Sarawak,Subis
