date,district
2021-09-01,Batu Pahat
2021-09-01,Johor Bahru
2021-09-01,Kluang
2021-09-01,Kota Tinggi
2021-09-01,Kulai
2021-09-01,Mersing
2021-09-01,Muar
2021-09-01,Pontian
2021-09-01,Segamat
2021-09-01,Tangkak
2021-09-01,Baling
2021-09-01,Bandar Baharu
2021-09-01,Kota Setar
2021-09-01,Kuala Muda
2021-09-01,Kubang Pasu
2021-09-01,Kulim
2021-09-01,Langkawi
2021-09-01,Padang Terap
2021-09-01,Pendang
2021-09-01,Pokok Sena
2021-09-01,Sik
2021-09-01,Yan
2021-09-01,Bachok
2021-09-01,Gua Musang
2021-09-01,Jeli
2021-09-01,Kecil Lojing
2021-09-01,Kota Bharu
2021-09-01,Kuala Krai
2021-09-01,Machang
2021-09-01,Pasir Mas
2021-09-01,Pasir Puteh
2021-09-01,Tanah Merah
2021-09-01,Tumpat
2021-09-01,Alor Gajah
2021-09-01,Jasin
2021-09-01,Melaka Tengah
2021-09-01,Jelebu
2021-09-01,Jempol
2021-09-01,Kuala Pilah
2021-09-01,Port Dickson
2021-09-01,Rembau
2021-09-01,Seremban
2021-09-01,Tampin
2021-09-01,Bentong
2021-09-01,Bera
2021-09-01,Cameron Highlands
2021-09-01,Jerantut
2021-09-01,Kuantan
2021-09-01,Lipis
2021-09-01,Maran
2021-09-01,Pekan
2021-09-01,Raub
2021-09-01,Rompin
2021-09-01,Temerloh
2021-09-01,Bagan Datuk
2021-09-01,Batang Padang
2021-09-01,Hilir Perak
2021-09-01,Hulu Perak
2021-09-01,Kampar
2021-09-01,Kerian
2021-09-01,Kuala Kangsar
2021-09-01,Larut Dan Matang
2021-09-01,Manjung
2021-09-01,Muallim
2021-09-01,Perak Tengah
2021-09-01,Perlis
2021-09-01,Barat Daya
2021-09-01,Seberang Perai Selatan
2021-09-01,Seberang Perai Tengah
2021-09-01,Seberang Perai Utara
2021-09-01,Timur Laut
2021-09-01,Beaufort
2021-09-01,Beluran
2021-09-01,Keningau
2021-09-01,Kinabatangan
2021-09-01,Kota Belud
2021-09-01,Kota Kinabalu
2021-09-01,Kota Marudu
2021-09-01,Kuala Penyu
2021-09-01,Kudat
2021-09-01,Kunak
2021-09-01,Lahad Datu
2021-09-01,Nabawan
2021-09-01,Papar
2021-09-01,Penampang
2021-09-01,Pitas
2021-09-01,Putatan
2021-09-01,Ranau
2021-09-01,Sandakan
2021-09-01,Semporna
2021-09-01,Sipitang
2021-09-01,Tambunan
2021-09-01,Tawau
2021-09-01,Telupid
2021-09-01,Tenom
2021-09-01,Tongod
2021-09-01,Tuaran
2021-09-01,Asajaya
2021-09-01,Bau
2021-09-01,Belaga
2021-09-01,Beluru
2021-09-01,Betong
2021-09-01,Bintulu
2021-09-01,Dalat
2021-09-01,Daro
2021-09-01,Julau
2021-09-01,Kabong
2021-09-01,Kanowit
2021-09-01,Kapit
2021-09-01,Kuching
2021-09-01,Lawas
2021-09-01,Limbang
2021-09-01,Lubok Antu
2021-09-01,Lundu
2021-09-01,Maradong
2021-09-01,Marudi
2021-09-01,Matu
2021-09-01,Miri
2021-09-01,Mukah
2021-09-01,Pakan
2021-09-01,Pusa
2021-09-01,Samarahan
2021-09-01,Saratok
2021-09-01,Sarikei
2021-09-01,Sebauh
2021-09-01,Selangau
2021-09-01,Serian
2021-09-01,Simunjan
2021-09-01,Song
2021-09-01,Sri Aman
2021-09-01,Subis
2021-09-01,Tanjung Manis
2021-09-01,Tatau
2021-09-01,Tebedu
2021-09-01,Telang Usan
2021-09-01,Gombak
2021-09-01,Hulu Langat
2021-09-01,Hulu Selangor
2021-09-01,Klang
2021-09-01,Kuala Langat
2021-09-01,Kuala Selangor
2021-09-01,Sabak Bernam
2021-09-01,Sepang
2021-09-01,Besut
2021-09-01,Dungun
2021-09-01,Hulu Terengganu
2021-09-01,Kemaman
2021-09-01,Kuala Nerus
2021-09-01,Kuala Terengganu
2021-09-01,Marang
2021-09-01,Setiu
2021-09-01,Kuala Lumpur
2021-09-01,Labuan
2021-09-01,Putrajaya
2021-09-02,Batu Pahat
2021-09-02,Johor Bahru
2021-09-02,Kluang
2021-09-02,Kota Tinggi
2021-09-02,Kulai
2021-09-02,Mersing
2021-09-02,Muar
2021-09-02,Pontian
2021-09-02,Segamat
2021-09-02,Tangkak
2021-09-02,Baling
2021-09-02,Bandar Baharu
2021-09-02,Kota Setar
2021-09-02,Kuala Muda
2021-09-02,Kubang Pasu
2021-09-02,Kulim
2021-09-02,Langkawi
2021-09-02,Padang Terap
2021-09-02,Pendang
2021-09-02,Pokok Sena
2021-09-02,Sik
2021-09-02,Yan
2021-09-02,Bachok
2021-09-02,Gua Musang
2021-09-02,Jeli
2021-09-02,Kecil Lojing
2021-09-02,Kota Bharu
2021-09-02,Kuala Krai
2021-09-02,Machang
2021-09-02,Pasir Mas
2021-09-02,Pasir Puteh
2021-09-02,Tanah Merah
2021-09-02,Tumpat
2021-09-02,Jasin
2021-09-02,Jelebu
2021-09-02,Jempol
2021-09-02,Kuala Pilah
2021-09-02,Port Dickson
2021-09-02,Rembau
2021-09-02,Seremban
2021-09-02,Tampin
2021-09-02,Bentong
2021-09-02,Bera
2021-09-02,Cameron Highlands
2021-09-02,Jerantut
2021-09-02,Kuantan
2021-09-02,Lipis
2021-09-02,Maran
2021-09-02,Pekan
2021-09-02,Raub
2021-09-02,Rompin
2021-09-02,Temerloh
2021-09-02,Bagan Datuk
2021-09-02,Batang Padang
2021-09-02,Hilir Perak
2021-09-02,Hulu Perak
2021-09-02,Kampar
2021-09-02,Kerian
2021-09-02,Kinta
2021-09-02,Kuala Kangsar
2021-09-02,Larut Dan Matang
2021-09-02,Manjung
2021-09-02,Muallim
2021-09-02,Perak Tengah
2021-09-02,Perlis
2021-09-02,Barat Daya
2021-09-02,Seberang Perai Selatan
2021-09-02,Seberang Perai Tengah
2021-09-02,Seberang Perai Utara
2021-09-02,Timur Laut
2021-09-02,Beaufort
2021-09-02,Beluran
2021-09-02,Keningau
2021-09-02,Kinabatangan
2021-09-02,Kota Belud
2021-09-02,Kota Kinabalu
2021-09-02,Kota Marudu
2021-09-02,Kuala Penyu
2021-09-02,Kudat
2021-09-02,Kunak
2021-09-02,Lahad Datu
2021-09-02,Nabawan
2021-09-02,Papar
2021-09-02,Penampang
2021-09-02,Pitas
2021-09-02,Putatan
2021-09-02,Ranau
2021-09-02,Sandakan
2021-09-02,Semporna
2021-09-02,Sipitang
2021-09-02,Tambunan
2021-09-02,Tawau
2021-09-02,Telupid
2021-09-02,Tenom
2021-09-02,Tongod
2021-09-02,Tuaran
2021-09-02,Asajaya
2021-09-02,Bau
2021-09-02,Belaga
2021-09-02,Beluru
2021-09-02,Betong
2021-09-02,Bintulu
2021-09-02,Dalat
2021-09-02,Daro
2021-09-02,Julau
2021-09-02,Kabong
2021-09-02,Kanowit
2021-09-02,Kapit
2021-09-02,Kuching
2021-09-02,Lawas
2021-09-02,Limbang
2021-09-02,Lubok Antu
2021-09-02,Lundu
2021-09-02,Maradong
2021-09-02,Marudi
2021-09-02,Matu
2021-09-02,Miri
2021-09-02,Mukah
2021-09-02,Pakan
2021-09-02,Pusa
2021-09-02,Samarahan
2021-09-02,Saratok
2021-09-02,Sarikei
2021-09-02,Sebauh
2021-09-02,Selangau
2021-09-02,Serian
2021-09-02,Sibu
2021-09-02,Simunjan
2021-09-02,Song
2021-09-02,Sri Aman
2021-09-02,Subis
2021-09-02,Tanjung Manis
2021-09-02,Tatau
2021-09-02,Tebedu
2021-09-02,Telang Usan
2021-09-02,Gombak
2021-09-02,Hulu Selangor
2021-09-02,Klang
2021-09-02,Kuala Langat
2021-09-02,Kuala Selangor
2021-09-02,Sabak Bernam
2021-09-02,Sepang
2021-09-02,Besut
2021-09-02,Dungun
2021-09-02,Hulu Terengganu
2021-09-02,Kemaman
2021-09-02,Kuala Nerus
2021-09-02,Kuala Terengganu
2021-09-02,Marang
2021-09-02,Setiu
2021-09-02,Kuala Lumpur
2021-09-02,Labuan
2021-09-02,Putrajaya
2021-09-03,Batu Pahat
2021-09-03,Johor Bahru
2021-09-03,Kluang
2021-09-03,Kota Tinggi
2021-09-03,Kulai
2021-09-03,Mersing
2021-09-03,Muar
2021-09-03,Pontian
2021-09-03,Segamat
2021-09-03,Tangkak
2021-09-03,Baling
2021-09-03,Bandar Baharu
2021-09-03,Kota Setar
2021-09-03,Kuala Muda
2021-09-03,Kubang Pasu
2021-09-03,Kulim
2021-09-03,Langkawi
2021-09-03,Padang Terap
2021-09-03,Pendang
2021-09-03,Pokok Sena
2021-09-03,Sik
2021-09-03,Yan
2021-09-03,Bachok
2021-09-03,Gua Musang
2021-09-03,Jeli
2021-09-03,Kecil Lojing
2021-09-03,Kota Bharu
2021-09-03,Kuala Krai
2021-09-03,Machang
2021-09-03,Pasir Mas
2021-09-03,Pasir Puteh
2021-09-03,Tanah Merah
2021-09-03,Tumpat
2021-09-03,Alor Gajah
2021-09-03,Jasin
2021-09-03,Melaka Tengah
2021-09-03,Jelebu
2021-09-03,Jempol
2021-09-03,Kuala Pilah
2021-09-03,Port Dickson
